Education,Skills,Years_Experience,Certifications,Test_Score,Interview_Rating,Gender,Selection_Status,AI_Selection,Merit_Score
PhD,65.80602569882778,12,No,68.64740721113832,4,Male,0,0,0.0
Bachelor's,49.56430720255736,8,Yes,73.59728241726627,4,Male,0,0,0.0
PhD,47.695598784456024,6,Yes,65.83261747558383,3,Female,0,0,0.0
PhD,41.36485744663046,0,Yes,69.63282258302439,5,Female,0,0,0.0
Bachelor's,79.49436748914984,9,Yes,87.91145591652067,3,Male,0,0,0.0
Bachelor's,100.0,5,No,80.52509463924493,3,Female,0,0,0.0
PhD,76.52857205777697,14,No,89.47676910395202,2,Female,0,0,0.0
Master's,95.08070323006511,14,No,75.65393753887663,5,Female,1,1,0.58
PhD,87.0035993618353,8,No,73.41170808613491,3,Male,0,0,0.0
PhD,62.22495985188871,12,No,61.922574110884966,4,Female,0,0,0.0
PhD,88.97973971485939,0,No,85.47697651540004,2,Male,0,0,0.0
PhD,62.821379627312275,8,Yes,73.38799345898764,5,Female,0,0,0.0
Bachelor's,63.11938195692461,2,No,76.94622188745099,4,Female,0,0,0.0
PhD,66.87111511095534,8,Yes,69.4067234788782,1,Male,0,0,0.0
Master's,67.58202966509305,19,Yes,100.0,2,Male,0,0,0.0
Bachelor's,79.92054194779222,14,Yes,76.23032665191899,4,Male,1,1,0.98
Master's,59.936698961637916,6,Yes,67.85045993616444,3,Female,0,0,0.0
Master's,83.33654167874465,3,No,63.40716912982546,3,Male,0,0,0.0
Master's,83.12116124547207,19,No,80.2830713347704,2,Female,0,0,0.0
Master's,75.14445298666728,16,Yes,67.4665384897554,5,Female,0,0,0.01
Bachelor's,99.09417862911167,3,No,70.48826489901873,3,Male,0,0,0.0
Bachelor's,89.31088972987463,18,Yes,59.721429955026636,4,Female,0,0,0.01
Master's,86.04593935300697,4,Yes,75.67069500013612,1,Male,0,0,0.0
Master's,70.99230061814878,15,Yes,75.5628401952129,5,Male,1,1,0.88
Bachelor's,75.27649206721489,2,Yes,93.57918562765934,2,Male,0,0,0.0
Bachelor's,77.85711044631631,10,No,69.641126066618,3,Female,0,0,0.0
Bachelor's,70.19862060291408,14,Yes,53.028628473401014,5,Female,0,0,0.02
PhD,64.36645809537293,18,No,72.7769538722852,1,Female,0,0,0.0
PhD,33.91430885685532,20,Yes,88.0293007059801,5,Male,0,0,0.01
PhD,80.76648113687234,13,No,81.10471001429678,5,Male,1,1,0.98
Master's,85.62170825325032,15,No,85.86276920281247,2,Female,0,0,0.0
PhD,52.58321715764746,5,No,79.52038171053975,1,Male,0,0,0.0
Master's,79.07752974580737,4,Yes,70.61213223774612,1,Female,0,0,0.0
Master's,61.12709982523714,20,Yes,63.757224379194305,5,Male,0,0,0.0
PhD,64.5020622638939,16,No,65.17306618834382,3,Male,0,0,0.0
Master's,89.66140791045031,15,No,68.97884855941183,5,Male,0,0,0.01
PhD,55.140484146789795,1,Yes,81.34021514273759,4,Female,0,0,0.0
PhD,55.117783169601694,10,No,74.1955596973999,3,Male,0,0,0.0
Bachelor's,97.07251548465997,3,No,57.00764098297294,2,Male,0,0,0.0
PhD,67.81664952195425,5,No,78.20165937997719,1,Male,0,0,0.0
Bachelor's,88.69818389846601,6,Yes,87.22696521511531,3,Male,0,0,0.0
